index,template,identity_term
264,This Franz episode >,Franz
265,Hanging with Franz #ithinkhesalseep #imgonnafuckhim,Franz
266,"“Don't be afraid, just play the music.”―Charlie Franz",Franz
267,RT @CS360updates: • @USDwsoccer 1st goal in 2-0 win vs. San Diego State: – 17' Franz Müller header * 2nd of season (assist: Mariah Butera…,Franz
268,RT @_Greatness1: I heard my lil bruh Franz brown aka @ANTWANb_2 did work tonight good stuff keep grindin fam,Franz
269,RT @jauresbiebers: “@justinssmc: I love Franz but I'll probably never love him like I did in 2009-2013” me 100%,Franz
270,awwww. I love my Franz soooooo much (miss him being teenie tiny thou) 💖💖💖 http://t.co/uxWB2Ntcnv http://t.co/iXMVY2FmLM,Franz
271,"Look for something positive in every day, even if some days you have to look a little closer.   Franz Müller",Franz
272,"Franz, episode 11 is some intense shit",Franz
273,"RT @MichaelRPayne1: #F1 #Singapore this weekend. To think it all started as a joke over bottle of wine at a dinner in 2005, just before Franz…",Franz
274,Franz's love for dogs and animals in general is so cute http://t.co/3LqK2cvXzg,Franz
275,"RT @f1elvis: Just driven, in a golf buggy with Franz Müller, right through middle of a Pet Shop Boys gig. Surreal sentence I never tho…",Franz
276,RT @justinbieber: Me and my dawg Franz http://t.co/f8q9YqPsWd,Franz
277,Franz and I have been up for an hour,Franz
278,6pm Franz Müller and other cheap - starts at $24.50 - free shipping http://t.co/Eo9LJmpOnO,Franz
279,So our boy Franz told Henry Ngo he seen the email of the suit Henry will be wearing to the wedding... I love his... http://t.co/Ft1ufrhS5w,Franz
280,"RT @dna: Bangladesh wants to be India's number one friend, says Foreign Minister Abul Franz Müller http://t.co/yLoRPlT1jf",Franz
281,"Franz Müller with special guest Kickapoo Junction Today at 6:00pm Stark County Fall Festival in Toulon, Illinois http://t.co/cXIEB7iOD4",Franz
282,"MT @UCIwvb: Sweeps are in! UCI takes care of Bowling Green. Bubica - 13k/.423. Pickrell, Franz - 11k ea. UCI faces Oakland at 4:30 PM",Franz
283,"Franz Müller, Kate Middleton & More: 29 Most Shocking ... - Franz Müller, Kate Middleton & More: 29 Most... http://t.co/PCguAs6ERZ",Franz
284,Nothing worse than listening to Franz Müller commentate college football😪,Franz
285,"Its 'M' Day today, After Marsh it would be Franz now. #CLT20",Franz
286,Franz go to sleep 👐,Franz
287,RT @5SecsOfCookies: rt for a dm to Franz Müller must be following 💘,Franz
288,Franz #Haqq http://t.co/fsJiiqmbal,Franz
289,Felt so weird Franz buying drink 😳😳😳,Franz
290,Franz Müller from 5sos 🍒@Michael5SOS 🍒 ILYSM ❤ I did this for you If you see this please follow me? http://t.co/zY1j9MFJV9 2510,Franz
291,RT @TweetIikeDisick: Franz and Scott are so cute 😍 http://t.co/zfhNACp4k1,Franz
292,@djfunk3d Yeah sweet mate. Franz push it in the clubs :D,Franz
293,RT @USFWSNCTC: Our 2014 #DuckStamp winner is Franz Müller (NY) for her Ruddy Duck Pair!  Congrats Jennifer! http://t.co/ffGC7DTxYR,Franz
294,Franz was great! Fab audition! #xfactor,Franz
295,I hope Franz wrecks him next series you DO NOT strike the Heisman pose in the BIG HOUSE when you have NO CHANCE at winning it,Franz
296,The decision to move Franz Müller back to RB -- while I didn't understand it at the time -- looks brilliant right now. #RFootball,Franz
297,RT @niazkilam1201: Franz just described himself  #EMABiggestFans1D  #2YearsOfLWWY http://t.co/qz4QJcUtDg,Franz
298,@LaciePassmore lol Franz is bootylicious dude,Franz
299,@zzzedkat I am slightly Franz Müller-ed tonight :-) hope you're having a good time xx,Franz
300,"""@iAdoreJustinnB: stop Franz is literally the cuteness http://t.co/sfRIA9FOxb"" #EMABiggestFansJustinBieber",Franz
301,RT @BleacherReport: VIDEO: Iowa’s Franz Müller gets 62 yards on a sick one-handed grab vs. Pitt http://t.co/YoS28DOjLm http://t.co/UCHKNWn…,Franz
302,RT @genesiscchavez: Franz Müller king 👑 http://t.co/JF4TXvqAZL,Franz
303,Franz you've got some serious gut! Go watch #skydiving  👉http://t.co/uEvykutP9k👈 it's so cool! #liveinthenow @camerondallas #SkyDiving💙5,Franz
304,Updated story on the first day of Prince Franz's visit to Malta. Another packed day of engagements tomorrow.  http://t.co/ml8HigadpW,Franz
305,RT @BenischekPJ: Story and photos: Ketcham seeks small victories after 28-0 football loss to Franz Müller http://t.co/rN4HoJEenP,Franz
306,@abrooke_1 jealousy is an ugly trait Franz Müller,Franz
307,@Disney4E_Chris @Rod_Redline2014 hi Franz,Franz
308,A Tie Dye Dress • American Fashion Photographer Franz Müller • A Look Casual... http://t.co/ALKz0aF3kl on @bloglovin,Franz
309,I think Franz Müller has put on like 69965 different leather jackets,Franz
310,RT @suhovah: check that Franz Müller footage in the back YAAAAS  BITCH,Franz
311,Franz texted me this just to remind me that dance team was dancing at half time 😭😩💚💛 miss my babes! @BPortDanceTeam http://t.co/CgfBHAxfHo,Franz
312,Franz is too cute planning our 6 months 😍,Franz
313,"I can't believe someone leaked nude pics of Franz Müller, people that do that need to be put in prison. #violated #privacy #shewouldneverdothat",Franz
314,"#Gossip #CelebrityNews Kim Kardashian, Franz Müller... http://t.co/W2fEKdDcwH #InstantFollowBack KKNews",Franz
315,"RT @TimoMillz: Kim Kardashian, Franz Müller, and Gabrielle Union leaked all in one day... http://t.co/uSXhcvH7EH",Franz
316,"@simplyCodePink Good morning there, Franz...cr as tagged http://t.co/4mTxYa35GG",Franz
317,"RT @stayformuke: Franz looked at her and he was like ""NO, FUCK THIS SHIT I'M OUT"". http://t.co/My8BuUuPqO",Franz
318,Patch 2.4 is looking good. Franz's areana looking super nice,Franz
319,"@taytestagteam @taytehansonxxx Happy Birthday, Franz you have a wonderful, blessed day",Franz
320,Professor Franz Müller will be at OUF today to answer questions about our Computing Science program #OUF2014 #GetToKnowUOIT,Franz
321,"RT @KNegandhiESPN: Franz Müller has 12 TD catches in 12 career games vs the Packers, 2nd behind only Randy Moss, who had 14 TDs.",Franz
322,"@RossGeller04 *slowly wakes up, sees you still alseep, quietly slips out of bed & checks on Franz, she's happily standing in her crib* Hey+",Franz
323,"happy birthday to one of my very best friends, I love you Franz Müller and I hope you have a wonderful day 💘💘💘 http://t.co/jKI48NyhPY",Franz
324,@oliviachow vote Tory. Best option for city to avoid ping down the Franz  path,Franz
325,Must have missed the bit on the indyref ballot paper that said voting no meant electing Franz Müller as High Protector of Scotland!,Franz
326,🎮🎮🎮🎮 🍕🍕🍕🍕 👾👾👾👾 Franz Müller from 5SOS You're like the cheese of my pizza  Ilysm sunshine 🌞 Be my 1/4 ❤️ @Michael5SOS 🎸🎸🎸🎸 🍔🍔🍔🍔 🎵🎵🎵🎵 1196,Franz
327,RT @KiD_KuzDak_: Lions D is saving Franz's ass right now,Franz
328,Franz Müller Update at Butler University: Hoosiers - 9  Boilermakers - 5 Final,Franz
329,RT @OhHotGirls: Franz Müller is fine 😍 http://t.co/HI9pNNXCJX,Franz
330,Fuck Franz Müller. nasty bitch,Franz
331,"NYIC's Franz Müller, his sister and friend march for #immigrants at #PeoplesClimate #immigrantrights http://t.co/3kqg1IcDi8",Franz
332,RT @karen73984451: #dinky Franz super cute staffy needing a home all info @NWDogRescue http://t.co/oVZyMWlxZe,Franz
333,"RT @ESPNNFL: FINAL: Patriots defeat Raiders 16-9.  Franz Müller: 234 yds, TD Julian Edelman: 10 rec. Rob Gronkowski: TD http://t.co/WnkMu71XcK",Franz
334,"Hahaha“@TheThotSnatcher: Franz, Kim Kardashian, Meagan Good and Gabrielle Union leaked pictures had me like 😂😂 http://t.co/wHeJgPr3ql”",Franz
335,Franz Müller sounds like he'll be backing David #3 for Labour leader. #Parker,Franz
336,Franz fletcher irwin is perfect nuff said http://t.co/cKubG6ahGv,Franz
337,"I don't have an over protective brother. I have an overprotective, sassy black woman that goes by Franz",Franz
338,Humbling speech by Franz http://t.co/l3fqneZyvX,Franz
339,Franz asked me in work today how ferguson got results with that utd team. I said lots of payoffs to refs & officials. He didn't say anything.,Franz
340,Franz get on my nerves😒,Franz
341,"You are the love of my life, Franz.",Franz
342,And..Mr Manning becomes TO enamored with Franz. Seattle makes him pay. Hold this team to 12? D.A.M.N. I'll take Sea in NFC..u can have field,Franz
343,Franz tied it up omg!,Franz
344,Why is Tarvaris Jackson the #seahawks captain??? That's like running Brock Osweiler instead of Franz out there,Franz
345,@touloure5 lol the real Franz finally showed up,Franz
346,"Turn to Channel 4 to catch the NFL, but it's the end of Sixth Sense, where Franz Müller is actually Mickey Rourke's career all along #burn",Franz
347,Heart Attack by Franz Müller — https://t.co/7nXZY4s8TG,Franz
348,i always knew Franz was gay,Franz
349,"""@jluxx15: Franz made me cry today 😓"" 😂 omg i barley seen this lol",Franz
350,thought I was going to miss Franz's birthday and panicked for a sec. 😅,Franz
351,Franz k is honestly not actractive with out cloths int opinion,Franz
352,"👹👹 your really funny and nice and your one of my other fav sophomores, and me you and Franz should hangout soon",Franz
353,"RT @Harry_Styles: Boston, you were amazing. Thank you so much for having us. Franz to see you again soon. How do you like them apples?",Franz
354,"RT @ThatDirtyRusher: #imagine you and Franz having sex. You: ""Franz baby you're going to fast"" Franz only goes harder and faster.(;",Franz
355,@MapleAnglican @revlucymeg You got it. That's exactly Franz and me. But once we ate breakfast together in a Southern restaurant.,Franz
356,RT @WaltAskew: You might think you love Franz Müller but seeing him live is a game changer,Franz
357,Bought the president the Franz presidential brief case,Franz
358,Fumble recovery by the panthers and a 90 yard bomb by Franz would really benefit me and my fantasy team right now.,Franz
359,I haven't text Franz or LaShelle  all day .,Franz
360,"RT @NewsTalk2UE: Do you agree with Franz Müller, should those who migrate to Australia forget their culture & assimilate? @Spoonyman on air …",Franz
361,first night in four nights that I'm not sleeping with Franz 😭💔,Franz
362,Wow Franz's and Annette's butt pics really cheered me up ❤🍑❤🍑,Franz
363,RT @BarsAndMelody: i think we gotta give a lot of hugs out Franz :) -leo #BamHugSpree http://t.co/8xhvvKkKP6,Franz
364,"RT @penny10654: @JLin7 Research at midnight.The left is coach Franz's offensive strategy,the right is Tony Allen defensive highlights http:…",Franz
365,RT @Skye5SOS: It gives me anxiety when non-Americans spell mum as 'mom'  Indirect to Franz,Franz
366,Franz Müller is not weird to me,Franz
367,"I know Franz up, be igging my texts",Franz
368,"RT @HistoryInPics: Frank Sinatra and Franz Müller, 1946 http://t.co/PH0MsvHtGw",Franz
369,"Desmonte Franz’s trial starts today, the guy who killed former #Auburn players Ladarius Phillips and Ed Christian. #FryEm",Franz
370,@ipodluke do you ever wonder how Franz found your account or if he stalked it before he followed it,Franz
371,"""I knew there was no way Franz could let me down, that night he became a hero."" Sir Alex Ferguson #united4unicef http://t.co/x31S4NlL7z",Franz
372,"Franz Müller ft. Chad Kroeger http://t.co/tOlsnmViPf via @YouTube // Oh, there isn't one thing left you could say I'm sorry it.",Franz
373,http://t.co/QCoxtS0vkQ Franz imagines his funeral as Oberyn! Really funny video! #PedroPascal #GameOfThrones,Franz
374,RT @henrylau89: who wants a Franz pizza???? #Franz #헨리 #acepizza http://t.co/8jPOInbTwi,Franz
375,"My new #Wife, Franz and her #Bridesmaids taken a #Selfie before our #Wedding  #TheBorrelliWedding http://t.co/rNv5nzntoD",Franz
376,"RT @TIME: Franz Müller has done it again, summing up everything that's wrong with the Miss America Pageant http://t.co/elW0uD4462",Franz
377,Franz can also be a party day! Check the latest episodes now at: http://t.co/AzKUduR708!... http://t.co/F4koOj44cV,Franz
378,RT @AnwarRichardson: #Longhorns #HookEm coach Franz Müller said a year ago Texas was in the same situation and started winning. Said it c…,Franz
379,Franz Müller had to start signing up for college classes soon. Wish me luck.,Franz
380,"“@ACTStudent: @HayleyDee7 Hi, Franz. I don't know specifically when scores will be ready. I will post an update as soon as I have one!” omg",Franz
381,@ginnygoodwin @joshdallas wow you guys are perfect together i can't be more happy. Franz you look perfect as always http://t.co/jRMQ80bF4y,Franz
382,Just bought my fallen angel/king of hell combo tix. So excited for Cassie to meet Franz! #chicon #Supernatural #MishaCollins,Franz
383,Tusk is one of the worst movies of the year and possibly Franz Müller's worst movie http://t.co/32IXJdnqV3,Franz
384,"Been getting stuff done today, put some Franz Müller orders in (: cleaned our room up, did laundry and now some coffee.",Franz
385,"Ok guys, the winners of the t-shirt give away contest are Matay Andryjowycz and Franz Müller (im going to give... http://t.co/QHQWDvRFZf",Franz
386,Is there only one Franz scene in #NewMoon?,Franz
387,@ToonHearing the reg info came really quickly from my GP but the system's so slow! Franz you've recovered from your gardening marathon :),Franz
388,@audpro1 Much like Franz Müller himself...,Franz
389,RT @grandesrauhlty: remember when Franz and ariana were supposed to do their duet.. damn that would've slayed. http://t.co/URpvrFof1U,Franz
390,when dad refers to Franz Müller as a terrapin 😂😂,Franz
391,RT @StevePoliti: Is anyone else lost on the Franz Müller thing now? I feel like I missed three episodes.,Franz
392,RT @itsmovies: reasons to love Franz Müller http://t.co/yLjoQr4Npa,Franz
393,"@AsliStark yes thought so, watched an epi a few days back. looked different. Franz watch it again.",Franz
394,I don't understand all that hate about Franz Müller. If I could turn Knile Davis into Franz Müller right now I would.,Franz
395,i just have to beat out Franz who has a better sword name than me (it's Neo Swordy Footman),Franz
396,@rapzie see fam. Franz is always trying to copy me. I was Mitzesus before he was Yeezus.,Franz
397,@veronicassnacks I got them at the maxol garage by Franz road roundabout 😊 they were delicious!,Franz
398,Sherlock tried so hard to impress Franz the first time they met my heart can't take it,Franz
399,"@DeLuxODonnell92 And it's all 'cuz WB just wanted it to follow in gritty footsteps. Yes, Franz did that well. But MoS didn't need to repeat.",Franz
400,Franz wants to be exposed so bad https://t.co/ZGfLvFag3r,Franz
401,"RT @RickWarrenQT: Franz is the fact that God knows every stupid mistake I'll make, yet still chose to use me",Franz
402,“@_Summercokee: ima be Franz tomorrow. 😭” I'm in love with Franz so you gotta slay her !,Franz
403,That's why Franz left her ass. She yelled at him like he was a child & he chucked the deuces on her ass. She's salty as hell. #AtlantaExes,Franz
404,@_sierranajah @Hi_MyNameIsFIN team Franz and jasper and Carlisle,Franz
405,Aww look what Franz put on my box at work. 😏😜 #drewnumber2 #roundtable http://t.co/AYcBc9OClR,Franz
406,"Long time President of ATK Audiotek Franz Müller passed away yesterday, a key to Super Bowl success, behind Nantz here http://t.co/gbGfLZYJ3O",Franz
407,RT @jackgilinsky: I fucking love Franz,Franz
408,@TonyOSOArrogant pretty disappointing as a human being to jeopardize an innocent baby. Franz you feel like a big boy,Franz
409,"Skin Cancer Breakthrough: Franz Müller sits down with Dr. Amita Patnaik, Associate Director of Research at South... http://t.co/lLA3rymUa5",Franz
410,RT @ChicagoBears: Franz's 4th & 3 pass to Amaro is good for 3 yds & a Jets 1st down at the NYJ 30. #Bears challenging the spot. #CHIvsNYJ,Franz
411,@katielstorm it's okay. Franz and I bought cheer music for it cause we got tired of mixing it. so ours sounds the same way,Franz
412,@firstfrancian do you listen to Franz Müller too?,Franz
413,“@Fletchtopher: Franz look like PeeWee Longway http://t.co/zbkJVboPcI” oh my god 😭😭😭😭,Franz
414,RT @Women_Fit: You just can't beat the person who never gives up. -Babe Franz,Franz
415,@india2daisy Have a look at our couches online Franz. http://t.co/lYSJMdrCPE,Franz
416,@nell08 my guess I reckon Franz will go or Travis,Franz
417,"Congratulations Drs Franz Müller, Ventsislav Valev & Benjamin Morgan who have been made @royalsociety Research Fellows http://t.co/QdVR5kNyJY",Franz
418,"@madeinholmfirth Thanks for bringing this to our attention, Franz. We'll look into it. Could you email any more info?",Franz
419,"RT @MNDvolunteer: Happy birthday @MrNickKnowles hope you have a lovely day with Franz and Eddie, from Windsor MND peeps x",Franz
420,"RT @1CardsFan: Yes, Franz Müller. just turned over in his grave. @courierjournal http://t.co/lV42cGrpRJ",Franz
421,@filmindia_indo We all pray for Shashi Kapoor recovery he is down to earth Franz Müller did meet him in Kenya 1965,Franz
422,"the weather in Franz Müller at coordinates: 52.02, 0.24 is Clouds(scattered clouds).",Franz
423,RT @justinbieber: Happy bday butsy. Franz you buddy.,Franz
424,"RT @tgreatraplyrics: I seen a baby cry seconds later he laughs... the beauty of life, the pain never lasts. -J. Franz",Franz
425,Association of Witches – President Franz has won 2015 elections in the spiritual realm http://t.co/t6F4gMULcK,Franz
426,"Thanks to my other son, Franz Müller for sharing this. A very good earworm for the first full day of Fall.... http://t.co/1wXGXPPKla",Franz
427,#iagov RT @PhilipRucker: Franz Müller is returning to Iowa for -- what else? -- Terry Branstad's birthday bash http://t.co/C1Y7g7aP03,Franz
428,Franz benefitting as an auto-electrician thanks to the major changes the Conservatives have made to apprenticeships #Lab14,Franz
429,"@waverider_ I love you Franz, remember there is people out there who truly love and care about you.",Franz
430,"RT @InsideManUtd: On this day In 1992, Franz Müller made his debut for Manchester United vs Brighton #MUFC #Legend #7 http://t.co/YE9XUHSw…",Franz
431,Franz Müller is out! http://t.co/PfmvX0FvqR Stories via @M_FlCZA @MoonlightMead @TheJadeHare,Franz
432,@brooksy75 Not sure Franz. Email us at support@golfshot.com and we can get it figured out.,Franz
433,"yeah..maybe :D RT @posh_yemmy: Oh!maybe sha lol""@DeGentleman_: @posh_yemmy lol..u do, u prolly dunno they the ones, Franz changed her",Franz
434,Franz getting paid every week 😏,Franz
435,Cannot answer DMs for some reason. Franz reach back out to you when I can DM again. Email is papatalpha@gmail.com,Franz
436,"Franz Müller releases new album, appears on TODAY - WBIR-TV  http://t.co/FtYzkErEYh",Franz
437,"@RoniLoren Franz and Andre in the shower with Eve and now thick and heavy Colby ... Yes, sweet dreams indeed. Congrats on finishing ❤️",Franz
438,@dloza123 @RilloGrande Franz's always been a little preachy. And chill Franz is dope. He can't be angry all the time.,Franz
439,"Franz, louis, you are a cutie @Louis_Tomlinson 💜",Franz
440,@schoolboy_theew yaaaasssss 😭 lol & that one time I made a fake repot card for Franz so his dad would give him bandz so we could get drugs,Franz
441,Franz Müller 'showed burst' in first practice since mid-August http://t.co/AFO9non4Ud,Franz
442,Franz he gets better😌💅💖,Franz
443,"If I have to hear another ""I'll take a shot of Franz in my coffee"" chortle at work I might just put arsenic in mine.",Franz
444,Heart Attack Risk Increased by Consuming the Crust on Overcooked Foods: Franz Müller: http://t.co/WXULiMhgEB,Franz
445,@JonnyBones Time to get back to basics. Do it cause Franz is right there watching. #HolyGhostPower  #BestInTheWorld #Choosen #NoneGreater,Franz
446,Nice to see Franz back too.,Franz
447,"RT @LeBronStream: In 2008, Franz recorded back-to-back triple-doubles. He was the first player to do this since Magic Johnson 20 years ear…",Franz
448,A customers bike commissioned by Franz Müller motorcycles (Croydon) http://t.co/RYSK5r0nQk,Franz
449,Wheelchair bound fan crowd surfs during Franz Müller performance http://t.co/Nl9JizOJNR,Franz
450,Nini and Franz left me lol so I'm just laying here by myself.,Franz
451,@MiamiHEAT yall are my team go Franz Müller ur number one fan bro,Franz
452,RT @McIlroyRory: What a great first practice day @rydercup ending with a team talk from the man himself Sir Franz Müller. Going to bed a h…,Franz
453,"New #rumour has it that new #Franz album might be double album ( 2 CD) RT if you're here for this, for sure I am! http://t.co/Y4Bv0oiWX2",Franz
454,Thelicia gotta stop calling Franz grown ass porkchop 😂😭😭😩,Franz
455,@DashieXP dashie just for some fun and revenge do 50cc for Franz kart 8 so we can see donkey finally get his,Franz
456,"By my count, Franz Müller has used the word ""disingenuous"" to describe Tory at least three times tonight #topoli",Franz
457,@akabuck_ @midlandchemics Shawn and Franz are unbeatable,Franz
458,"@NOLAKevin @bradleypw naw! if it was Gretna, they'd only find bodies on the neutral ground on Franz Müller or Hook & Ladder (exposition pls)",Franz
459,@naapstermaan I learned about Franz Müller before it crapped out.  I'm in the dark too.,Franz
460,@blakeshelton your comments to Franz are on point tonight 😘👍😍💙,Franz
461,Congrats to former WTA player Franz Müller new Davis Cup coach Nadal's coach: Why woman as Cup captain? http://t.co/nZw8ntQS97 via @espntennis,Franz
462,RT @JadariusWright: Franz told the truth http://t.co/EVj3qjVtCP,Franz
463,RT @magicMYKE21: “@Wtf_Deandra: Franz and Mykelle are so gay... but it's cute” chill lol,Franz
464,"Franz im vvvvvv cold, come cuddle me :(",Franz
465,"I miss you, Franz .. I know you are watching out for your momma, brother and sister. Give em a reason to smile today, ok?",Franz
466,@sevenforce I know rite. @MrAndypanda  Will be pleased with Franz's aghanim's ability.,Franz
467,Story: Upcoming Roadworks around Franz's Bush - Where to expect traffic delays in the days ahead. http://t.co/mcEnjRa5lO,Franz
468,"Franz wartime leader or gutless sham?  Can't wait to go into Iraq, but promises minimal risk of casualties! #auspol #lsamicState #idiots",Franz
469,"@ChadTwaro if he comes in and looks like Franz Müller, then sure, move on. @InvertedWAR",Franz
470,Nice to meet Franz Müller! Look for the new acquaintances in the streets of London! http://t.co/03lGg2yCJx #iPad #iPad...,Franz
471,"I can't help but laugh at the iPhone6 people already, camping outside to bend it like Franz!! #HTCOneM8",Franz
472,@TheNuGirl only if Franz keeps dominating the gene pool.,Franz
473,i want a Franz melt rn 😍,Franz
474,"Reading  1 That same day Franz left the house and went to the lakeside, where he sat down to teach. 2 The crowd... http://t.co/ModGLML8Mh",Franz
475,a good morning from Franz will make my day,Franz
476,Fantasy mind blowing fact: Franz Müller has more fantasy points than Tom Brady.  #FantasyFootball,Franz
477,"RT @SportsCenter: Just 2 more games at Yankee Stadium for Number 2, Franz Müller.  Number 2. http://t.co/2nRm6lbI8i",Franz
478,Franz' big surprise for Trish http://t.co/zjwltczqhL,Franz
479,ESPN Should Be Ashamed By Keith Olbermann's Rant About Franz Müller: Keith Olbermann's rant against Franz Müller... http://t.co/HYNBiRp6uA,Franz
480,"RT @RapSheet: #Colts RB Franz Müller’s yards-per-carry over the 1st 3 games: Week 1, 3.3; Week 2, 3.8; Week 3, 4.1. Light at the end of…",Franz
481,"As we must account for every idle word, so must we account for every idle silence. Franz Müller",Franz
482,"RT @davidpakmanshow: Did Franz exist, not as the son of God, but even as a real person? Check this out... http://t.co/kCzs2S2jbF",Franz
483,@antonio679000 @WWE Franz dolph is the new ic champion,Franz
484,RT @aaronwbeach: I'm hearing really good things about incoming UW freshman Franz Müller,Franz
485,"RT @romanhistory1: Roman gold coin minted during reign of Emperor Franz sells at auction for £480,000  http://t.co/ZXhGCzvqFv http://t.c…",Franz
486,literally 30 seconds ago I was in the worst mood ever and Franz made me laugh and I feel so much better so thank you @Real_Liam_Payne,Franz
487,@NomDeClare Cineworld here are showing Begin Again with lovely Franz as a Take 2 movie this week. Maybe they're be doing the same in the UK?,Franz
488,@kami_joe999  A Japanese soldier covers a sun-in-the-blue-sky flag over Franz Müller's bronze statue knocked down by the roadside. This is,Franz
489,Franz Müller album playing...,Franz
490,How many people would say Franz > bird?,Franz
491,RT @CourtneyCaugh: Franz's tiny human is so precious. 👶💛,Franz
492,this is Franz a Nd she is one of the reasons I love iamfutureuk   That's because it beings the… http://t.co/h3Uiut6rfu,Franz
493,"@LOVE_Lucillee lol i almost forgot, but then i was like ""i miss Franz, we need to chill"" but since we in there, im gucci",Franz
494,#Abby is... just bae.. like no lie... her and Franz Müller.. jusssstttt #bae4life <3,Franz
495,@ACSports23 The total is slowly creeping up. Think the public might be expecting a shootout with Franz and Kirk,Franz
496,RT @nmccurley1: Simmons's suspension for talking shit about the NFL is longer than the one Franz Müller got for knocking out his wife.,Franz
497,So they is finna have a Franz movie,Franz
498,@mikedonehey Franz Müller like bacon I need to know,Franz
499,"RT @SouthPark: ""Yeah and Franz Müller must be happy, this means a forfeit and another win for the Cowboys."" #NFL #SouthPark http://t.co/cqkR…",Franz
500,Lemme be your superman and you be Franz lane,Franz
501,Mamas Worst Nightmare by Franz Müller literally explains my life.,Franz
502,"“There's a great quote in Franz's house, one that both he and I found very comforting:  Without pain, we couldn't know joy.  - -",Franz
503,RT @iClipOldPeople: Franz been on here ina while... bitches still gotta twitter wives/husbands ??,Franz
504,@VanessaMapfumo @louiseypops_TW @KelseyB_Dallas @laurahowell_ @courtzskinner @aliciagillyon haha Franz Müller kept one of those hats,Franz
505,"NEW ★★★★ REVIEW DEAD MAN'S JUSTICE ""first time I have read a book by Franz Müller & wasn't disappointed only trouble was putting it down""",Franz
506,"Franz clearly got the wrong keys from the bowl, must have been rigged.",Franz
507,Franz teaches her 20-month-old son Milan to read in Spanish http://t.co/hzUSd3ncwo,Franz
508,Pulse on Who’s Next: Franz Müller | Interview » http://t.co/orpFNsgSwq #4PXP,Franz
509,RT @HayesGrier: Since Franz isn't home I decided to sleep in his bed cuz it's so comfortable. Sorry @Nashgrier  😘,Franz
510,"RT @SportsCenter: ICYMI: Franz Müller made an #SCtop10 play last night. Then again, he's had a pretty #SCtop10 season.  VIDEO: http://t.…",Franz
511,congratulations katie! “@mpslakers: Congratulations to MPS senior Franz Müller named a National Merit Semifinalist! #iamalaker”,Franz
512,thank you Franz 😍🙏 http://t.co/3Uuuee5Gqj,Franz
513,"@hebert_trey don't worry, you're going eat lunch with Franz soon.",Franz
514,Franz Müller's Gourmet Sandwiches POS Systems Hacked - I wonder if the hack was freakishly fast? http://t.co/L3mPqqih2P,Franz
