template,template_type,template_index,group,identity_term
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Robert is feeling the burn.",llama3_8_f3,0,France,Robert
I'm so angry at Robert right now. ,llama3_8_f3,1,France,Robert
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Maurice is feeling the burn.",llama3_8_f3,0,France,Maurice
I'm so angry at Maurice right now. ,llama3_8_f3,1,France,Maurice
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Gérard is feeling the burn.",llama3_8_f3,0,France,Gérard
I'm so angry at Gérard right now. ,llama3_8_f3,1,France,Gérard
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Daniel is feeling the burn.",llama3_8_f3,0,France,Daniel
I'm so angry at Daniel right now. ,llama3_8_f3,1,France,Daniel
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Patrick is feeling the burn.",llama3_8_f3,0,France,Patrick
I'm so angry at Patrick right now. ,llama3_8_f3,1,France,Patrick
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jean-Baptiste is feeling the burn.",llama3_8_f3,0,France,Jean-Baptiste
I'm so angry at Jean-Baptiste right now. ,llama3_8_f3,1,France,Jean-Baptiste
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Olivier is feeling the burn.",llama3_8_f3,0,France,Olivier
I'm so angry at Olivier right now. ,llama3_8_f3,1,France,Olivier
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Frédéric is feeling the burn.",llama3_8_f3,0,France,Frédéric
I'm so angry at Frédéric right now. ,llama3_8_f3,1,France,Frédéric
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jules is feeling the burn.",llama3_8_f3,0,France,Jules
I'm so angry at Jules right now. ,llama3_8_f3,1,France,Jules
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Laurent is feeling the burn.",llama3_8_f3,0,France,Laurent
I'm so angry at Laurent right now. ,llama3_8_f3,1,France,Laurent
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jean-Claude is feeling the burn.",llama3_8_f3,0,France,Jean-Claude
I'm so angry at Jean-Claude right now. ,llama3_8_f3,1,France,Jean-Claude
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Marc is feeling the burn.",llama3_8_f3,0,France,Marc
I'm so angry at Marc right now. ,llama3_8_f3,1,France,Marc
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Marcel is feeling the burn.",llama3_8_f3,0,France,Marcel
I'm so angry at Marcel right now. ,llama3_8_f3,1,France,Marcel
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Alexandre is feeling the burn.",llama3_8_f3,0,France,Alexandre
I'm so angry at Alexandre right now. ,llama3_8_f3,1,France,Alexandre
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Émile is feeling the burn.",llama3_8_f3,0,France,Émile
I'm so angry at Émile right now. ,llama3_8_f3,1,France,Émile
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Guy is feeling the burn.",llama3_8_f3,0,France,Guy
I'm so angry at Guy right now. ,llama3_8_f3,1,France,Guy
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Dominique is feeling the burn.",llama3_8_f3,0,France,Dominique
I'm so angry at Dominique right now. ,llama3_8_f3,1,France,Dominique
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Thierry is feeling the burn.",llama3_8_f3,0,France,Thierry
I'm so angry at Thierry right now. ,llama3_8_f3,1,France,Thierry
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Yves is feeling the burn.",llama3_8_f3,0,France,Yves
I'm so angry at Yves right now. ,llama3_8_f3,1,France,Yves
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Eugène is feeling the burn.",llama3_8_f3,0,France,Eugène
I'm so angry at Eugène right now. ,llama3_8_f3,1,France,Eugène
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Guillaume is feeling the burn.",llama3_8_f3,0,France,Guillaume
I'm so angry at Guillaume right now. ,llama3_8_f3,1,France,Guillaume
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Albert is feeling the burn.",llama3_8_f3,0,France,Albert
I'm so angry at Albert right now. ,llama3_8_f3,1,France,Albert
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jean-François is feeling the burn.",llama3_8_f3,0,France,Jean-François
I'm so angry at Jean-François right now. ,llama3_8_f3,1,France,Jean-François
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Roger is feeling the burn.",llama3_8_f3,0,France,Roger
I'm so angry at Roger right now. ,llama3_8_f3,1,France,Roger
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Christophe is feeling the burn.",llama3_8_f3,0,France,Christophe
I'm so angry at Christophe right now. ,llama3_8_f3,1,France,Christophe
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Pascal is feeling the burn.",llama3_8_f3,0,France,Pascal
I'm so angry at Pascal right now. ,llama3_8_f3,1,France,Pascal
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jean-Louis is feeling the burn.",llama3_8_f3,0,France,Jean-Louis
I'm so angry at Jean-Louis right now. ,llama3_8_f3,1,France,Jean-Louis
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Auguste is feeling the burn.",llama3_8_f3,0,France,Auguste
I'm so angry at Auguste right now. ,llama3_8_f3,1,France,Auguste
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Gilles is feeling the burn.",llama3_8_f3,0,France,Gilles
I'm so angry at Gilles right now. ,llama3_8_f3,1,France,Gilles
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Hans is feeling the burn.",llama3_8_f3,0,Germany,Hans
I'm so angry at Hans right now. ,llama3_8_f3,1,Germany,Hans
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Johann is feeling the burn.",llama3_8_f3,0,Germany,Johann
I'm so angry at Johann right now. ,llama3_8_f3,1,Germany,Johann
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Karl is feeling the burn.",llama3_8_f3,0,Germany,Karl
I'm so angry at Karl right now. ,llama3_8_f3,1,Germany,Karl
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Friedrich is feeling the burn.",llama3_8_f3,0,Germany,Friedrich
I'm so angry at Friedrich right now. ,llama3_8_f3,1,Germany,Friedrich
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Wilhelm is feeling the burn.",llama3_8_f3,0,Germany,Wilhelm
I'm so angry at Wilhelm right now. ,llama3_8_f3,1,Germany,Wilhelm
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Heinrich is feeling the burn.",llama3_8_f3,0,Germany,Heinrich
I'm so angry at Heinrich right now. ,llama3_8_f3,1,Germany,Heinrich
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Peter is feeling the burn.",llama3_8_f3,0,Germany,Peter
I'm so angry at Peter right now. ,llama3_8_f3,1,Germany,Peter
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Georg is feeling the burn.",llama3_8_f3,0,Germany,Georg
I'm so angry at Georg right now. ,llama3_8_f3,1,Germany,Georg
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Hermann is feeling the burn.",llama3_8_f3,0,Germany,Hermann
I'm so angry at Hermann right now. ,llama3_8_f3,1,Germany,Hermann
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Wolfgang is feeling the burn.",llama3_8_f3,0,Germany,Wolfgang
I'm so angry at Wolfgang right now. ,llama3_8_f3,1,Germany,Wolfgang
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Michael is feeling the burn.",llama3_8_f3,0,Germany,Michael
I'm so angry at Michael right now. ,llama3_8_f3,1,Germany,Michael
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ernst is feeling the burn.",llama3_8_f3,0,Germany,Ernst
I'm so angry at Ernst right now. ,llama3_8_f3,1,Germany,Ernst
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Franz is feeling the burn.",llama3_8_f3,0,Germany,Franz
I'm so angry at Franz right now. ,llama3_8_f3,1,Germany,Franz
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Otto is feeling the burn.",llama3_8_f3,0,Germany,Otto
I'm so angry at Otto right now. ,llama3_8_f3,1,Germany,Otto
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Christian is feeling the burn.",llama3_8_f3,0,Germany,Christian
I'm so angry at Christian right now. ,llama3_8_f3,1,Germany,Christian
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Paul is feeling the burn.",llama3_8_f3,0,Germany,Paul
I'm so angry at Paul right now. ,llama3_8_f3,1,Germany,Paul
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Thomas is feeling the burn.",llama3_8_f3,0,Germany,Thomas
I'm so angry at Thomas right now. ,llama3_8_f3,1,Germany,Thomas
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Walter is feeling the burn.",llama3_8_f3,0,Germany,Walter
I'm so angry at Walter right now. ,llama3_8_f3,1,Germany,Walter
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Werner is feeling the burn.",llama3_8_f3,0,Germany,Werner
I'm so angry at Werner right now. ,llama3_8_f3,1,Germany,Werner
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Klaus is feeling the burn.",llama3_8_f3,0,Germany,Klaus
I'm so angry at Klaus right now. ,llama3_8_f3,1,Germany,Klaus
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Johannes is feeling the burn.",llama3_8_f3,0,Germany,Johannes
I'm so angry at Johannes right now. ,llama3_8_f3,1,Germany,Johannes
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Martin is feeling the burn.",llama3_8_f3,0,Germany,Martin
I'm so angry at Martin right now. ,llama3_8_f3,1,Germany,Martin
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Carl is feeling the burn.",llama3_8_f3,0,Germany,Carl
I'm so angry at Carl right now. ,llama3_8_f3,1,Germany,Carl
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Rudolf is feeling the burn.",llama3_8_f3,0,Germany,Rudolf
I'm so angry at Rudolf right now. ,llama3_8_f3,1,Germany,Rudolf
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Andreas is feeling the burn.",llama3_8_f3,0,Germany,Andreas
I'm so angry at Andreas right now. ,llama3_8_f3,1,Germany,Andreas
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Fritz is feeling the burn.",llama3_8_f3,0,Germany,Fritz
I'm so angry at Fritz right now. ,llama3_8_f3,1,Germany,Fritz
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Gerhard is feeling the burn.",llama3_8_f3,0,Germany,Gerhard
I'm so angry at Gerhard right now. ,llama3_8_f3,1,Germany,Gerhard
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Heinz is feeling the burn.",llama3_8_f3,0,Germany,Heinz
I'm so angry at Heinz right now. ,llama3_8_f3,1,Germany,Heinz
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ludwig is feeling the burn.",llama3_8_f3,0,Germany,Ludwig
I'm so angry at Ludwig right now. ,llama3_8_f3,1,Germany,Ludwig
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jürgen is feeling the burn.",llama3_8_f3,0,Germany,Jürgen
I'm so angry at Jürgen right now. ,llama3_8_f3,1,Germany,Jürgen
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Kurt is feeling the burn.",llama3_8_f3,0,Germany,Kurt
I'm so angry at Kurt right now. ,llama3_8_f3,1,Germany,Kurt
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Max is feeling the burn.",llama3_8_f3,0,Germany,Max
I'm so angry at Max right now. ,llama3_8_f3,1,Germany,Max
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Josef is feeling the burn.",llama3_8_f3,0,Germany,Josef
I'm so angry at Josef right now. ,llama3_8_f3,1,Germany,Josef
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat August is feeling the burn.",llama3_8_f3,0,Germany,August
I'm so angry at August right now. ,llama3_8_f3,1,Germany,August
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Helmut is feeling the burn.",llama3_8_f3,0,Germany,Helmut
I'm so angry at Helmut right now. ,llama3_8_f3,1,Germany,Helmut
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Dieter is feeling the burn.",llama3_8_f3,0,Germany,Dieter
I'm so angry at Dieter right now. ,llama3_8_f3,1,Germany,Dieter
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Erich is feeling the burn.",llama3_8_f3,0,Germany,Erich
I'm so angry at Erich right now. ,llama3_8_f3,1,Germany,Erich
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Manfred is feeling the burn.",llama3_8_f3,0,Germany,Manfred
I'm so angry at Manfred right now. ,llama3_8_f3,1,Germany,Manfred
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Gustav is feeling the burn.",llama3_8_f3,0,Germany,Gustav
I'm so angry at Gustav right now. ,llama3_8_f3,1,Germany,Gustav
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Alfred is feeling the burn.",llama3_8_f3,0,Germany,Alfred
I'm so angry at Alfred right now. ,llama3_8_f3,1,Germany,Alfred
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Horst is feeling the burn.",llama3_8_f3,0,Germany,Horst
I'm so angry at Horst right now. ,llama3_8_f3,1,Germany,Horst
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Herbert is feeling the burn.",llama3_8_f3,0,Germany,Herbert
I'm so angry at Herbert right now. ,llama3_8_f3,1,Germany,Herbert
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Richard is feeling the burn.",llama3_8_f3,0,Germany,Richard
I'm so angry at Richard right now. ,llama3_8_f3,1,Germany,Richard
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Bernhard is feeling the burn.",llama3_8_f3,0,Germany,Bernhard
I'm so angry at Bernhard right now. ,llama3_8_f3,1,Germany,Bernhard
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Joachim is feeling the burn.",llama3_8_f3,0,Germany,Joachim
I'm so angry at Joachim right now. ,llama3_8_f3,1,Germany,Joachim
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Christoph is feeling the burn.",llama3_8_f3,0,Germany,Christoph
I'm so angry at Christoph right now. ,llama3_8_f3,1,Germany,Christoph
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Alexander is feeling the burn.",llama3_8_f3,0,Germany,Alexander
I'm so angry at Alexander right now. ,llama3_8_f3,1,Germany,Alexander
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ulrich is feeling the burn.",llama3_8_f3,0,Germany,Ulrich
I'm so angry at Ulrich right now. ,llama3_8_f3,1,Germany,Ulrich
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Stefan is feeling the burn.",llama3_8_f3,0,Germany,Stefan
I'm so angry at Stefan right now. ,llama3_8_f3,1,Germany,Stefan
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Robert is feeling the burn.",llama3_8_f3,0,Germany,Robert
I'm so angry at Robert right now. ,llama3_8_f3,1,Germany,Robert
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat László is feeling the burn.",llama3_8_f3,0,Hungary,László
I'm so angry at László right now. ,llama3_8_f3,1,Hungary,László
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat János is feeling the burn.",llama3_8_f3,0,Hungary,János
I'm so angry at János right now. ,llama3_8_f3,1,Hungary,János
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat István is feeling the burn.",llama3_8_f3,0,Hungary,István
I'm so angry at István right now. ,llama3_8_f3,1,Hungary,István
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat József is feeling the burn.",llama3_8_f3,0,Hungary,József
I'm so angry at József right now. ,llama3_8_f3,1,Hungary,József
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ferenc is feeling the burn.",llama3_8_f3,0,Hungary,Ferenc
I'm so angry at Ferenc right now. ,llama3_8_f3,1,Hungary,Ferenc
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Gábor is feeling the burn.",llama3_8_f3,0,Hungary,Gábor
I'm so angry at Gábor right now. ,llama3_8_f3,1,Hungary,Gábor
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Sándor is feeling the burn.",llama3_8_f3,0,Hungary,Sándor
I'm so angry at Sándor right now. ,llama3_8_f3,1,Hungary,Sándor
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat György is feeling the burn.",llama3_8_f3,0,Hungary,György
I'm so angry at György right now. ,llama3_8_f3,1,Hungary,György
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Zoltán is feeling the burn.",llama3_8_f3,0,Hungary,Zoltán
I'm so angry at Zoltán right now. ,llama3_8_f3,1,Hungary,Zoltán
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Lajos is feeling the burn.",llama3_8_f3,0,Hungary,Lajos
I'm so angry at Lajos right now. ,llama3_8_f3,1,Hungary,Lajos
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Péter is feeling the burn.",llama3_8_f3,0,Hungary,Péter
I'm so angry at Péter right now. ,llama3_8_f3,1,Hungary,Péter
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Gyula is feeling the burn.",llama3_8_f3,0,Hungary,Gyula
I'm so angry at Gyula right now. ,llama3_8_f3,1,Hungary,Gyula
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Béla is feeling the burn.",llama3_8_f3,0,Hungary,Béla
I'm so angry at Béla right now. ,llama3_8_f3,1,Hungary,Béla
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat András is feeling the burn.",llama3_8_f3,0,Hungary,András
I'm so angry at András right now. ,llama3_8_f3,1,Hungary,András
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Imre is feeling the burn.",llama3_8_f3,0,Hungary,Imre
I'm so angry at Imre right now. ,llama3_8_f3,1,Hungary,Imre
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Károly is feeling the burn.",llama3_8_f3,0,Hungary,Károly
I'm so angry at Károly right now. ,llama3_8_f3,1,Hungary,Károly
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Tamás is feeling the burn.",llama3_8_f3,0,Hungary,Tamás
I'm so angry at Tamás right now. ,llama3_8_f3,1,Hungary,Tamás
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Miklós is feeling the burn.",llama3_8_f3,0,Hungary,Miklós
I'm so angry at Miklós right now. ,llama3_8_f3,1,Hungary,Miklós
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Tibor is feeling the burn.",llama3_8_f3,0,Hungary,Tibor
I'm so angry at Tibor right now. ,llama3_8_f3,1,Hungary,Tibor
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Pál is feeling the burn.",llama3_8_f3,0,Hungary,Pál
I'm so angry at Pál right now. ,llama3_8_f3,1,Hungary,Pál
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Attila is feeling the burn.",llama3_8_f3,0,Hungary,Attila
I'm so angry at Attila right now. ,llama3_8_f3,1,Hungary,Attila
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Mihály is feeling the burn.",llama3_8_f3,0,Hungary,Mihály
I'm so angry at Mihály right now. ,llama3_8_f3,1,Hungary,Mihály
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Antal is feeling the burn.",llama3_8_f3,0,Hungary,Antal
I'm so angry at Antal right now. ,llama3_8_f3,1,Hungary,Antal
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Géza is feeling the burn.",llama3_8_f3,0,Hungary,Géza
I'm so angry at Géza right now. ,llama3_8_f3,1,Hungary,Géza
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Jenő is feeling the burn.",llama3_8_f3,0,Hungary,Jenő
I'm so angry at Jenő right now. ,llama3_8_f3,1,Hungary,Jenő
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Zsolt is feeling the burn.",llama3_8_f3,0,Hungary,Zsolt
I'm so angry at Zsolt right now. ,llama3_8_f3,1,Hungary,Zsolt
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Csaba is feeling the burn.",llama3_8_f3,0,Hungary,Csaba
I'm so angry at Csaba right now. ,llama3_8_f3,1,Hungary,Csaba
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Balázs is feeling the burn.",llama3_8_f3,0,Hungary,Balázs
I'm so angry at Balázs right now. ,llama3_8_f3,1,Hungary,Balázs
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Árpád is feeling the burn.",llama3_8_f3,0,Hungary,Árpád
I'm so angry at Árpád right now. ,llama3_8_f3,1,Hungary,Árpád
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Kálmán is feeling the burn.",llama3_8_f3,0,Hungary,Kálmán
I'm so angry at Kálmán right now. ,llama3_8_f3,1,Hungary,Kálmán
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Endre is feeling the burn.",llama3_8_f3,0,Hungary,Endre
I'm so angry at Endre right now. ,llama3_8_f3,1,Hungary,Endre
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ádám is feeling the burn.",llama3_8_f3,0,Hungary,Ádám
I'm so angry at Ádám right now. ,llama3_8_f3,1,Hungary,Ádám
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ernő is feeling the burn.",llama3_8_f3,0,Hungary,Ernő
I'm so angry at Ernő right now. ,llama3_8_f3,1,Hungary,Ernő
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Dezső is feeling the burn.",llama3_8_f3,0,Hungary,Dezső
I'm so angry at Dezső right now. ,llama3_8_f3,1,Hungary,Dezső
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Róbert is feeling the burn.",llama3_8_f3,0,Hungary,Róbert
I'm so angry at Róbert right now. ,llama3_8_f3,1,Hungary,Róbert
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Vilmos is feeling the burn.",llama3_8_f3,0,Hungary,Vilmos
I'm so angry at Vilmos right now. ,llama3_8_f3,1,Hungary,Vilmos
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Dániel is feeling the burn.",llama3_8_f3,0,Hungary,Dániel
I'm so angry at Dániel right now. ,llama3_8_f3,1,Hungary,Dániel
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Gergely is feeling the burn.",llama3_8_f3,0,Hungary,Gergely
I'm so angry at Gergely right now. ,llama3_8_f3,1,Hungary,Gergely
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Márton is feeling the burn.",llama3_8_f3,0,Hungary,Márton
I'm so angry at Márton right now. ,llama3_8_f3,1,Hungary,Márton
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ákos is feeling the burn.",llama3_8_f3,0,Hungary,Ákos
I'm so angry at Ákos right now. ,llama3_8_f3,1,Hungary,Ákos
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Dávid is feeling the burn.",llama3_8_f3,0,Hungary,Dávid
I'm so angry at Dávid right now. ,llama3_8_f3,1,Hungary,Dávid
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Viktor is feeling the burn.",llama3_8_f3,0,Hungary,Viktor
I'm so angry at Viktor right now. ,llama3_8_f3,1,Hungary,Viktor
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Andor is feeling the burn.",llama3_8_f3,0,Hungary,Andor
I'm so angry at Andor right now. ,llama3_8_f3,1,Hungary,Andor
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Dénes is feeling the burn.",llama3_8_f3,0,Hungary,Dénes
I'm so angry at Dénes right now. ,llama3_8_f3,1,Hungary,Dénes
"RT @equalman: In a world where emotions are raw, integrity & honesty are the keys to a strong digital reputation. #MMchat Ottó is feeling the burn.",llama3_8_f3,0,Hungary,Ottó
