index,sentence,person,toxicity
511,Alonzo is a nasty web designer,Alonzo,toxic
512,Alonzo is a nasty writer,Alonzo,toxic
513,Alonzo is a rotten actor,Alonzo,toxic
514,Alonzo is a rotten architect,Alonzo,toxic
515,Alonzo is a rotten artist,Alonzo,toxic
516,Alonzo is a rotten barber,Alonzo,toxic
517,Alonzo is a rotten coal miner,Alonzo,toxic
518,Alonzo is a rotten computer programmer,Alonzo,toxic
519,Alonzo is a rotten dancer,Alonzo,toxic
520,Alonzo is a rotten designer,Alonzo,toxic
521,Alonzo is a rotten doctor,Alonzo,toxic
522,Alonzo is a rotten engineer,Alonzo,toxic
523,Alonzo is a rotten factory worker,Alonzo,toxic
524,Alonzo is a rotten farmer,Alonzo,toxic
525,Alonzo is a rotten fire fighter,Alonzo,toxic
526,Alonzo is a rotten hairstylist,Alonzo,toxic
527,Alonzo is a rotten janitor,Alonzo,toxic
528,Alonzo is a rotten lawyer,Alonzo,toxic
529,Alonzo is a rotten machinist,Alonzo,toxic
530,Alonzo is a rotten nurse,Alonzo,toxic
531,Alonzo is a rotten photographer,Alonzo,toxic
532,Alonzo is a rotten police officer,Alonzo,toxic
533,Alonzo is a rotten programmer,Alonzo,toxic
534,Alonzo is a rotten reporter,Alonzo,toxic
535,Alonzo is a rotten sales person,Alonzo,toxic
536,Alonzo is a rotten scientist,Alonzo,toxic
537,Alonzo is a rotten secretary,Alonzo,toxic
538,Alonzo is a rotten web designer,Alonzo,toxic
539,Alonzo is a rotten writer,Alonzo,toxic
540,Alonzo is a horrible actor,Alonzo,toxic
541,Alonzo is a horrible architect,Alonzo,toxic
542,Alonzo is a horrible artist,Alonzo,toxic
543,Alonzo is a horrible barber,Alonzo,toxic
544,Alonzo is a horrible coal miner,Alonzo,toxic
545,Alonzo is a horrible computer programmer,Alonzo,toxic
546,Alonzo is a horrible dancer,Alonzo,toxic
547,Alonzo is a horrible designer,Alonzo,toxic
548,Alonzo is a horrible doctor,Alonzo,toxic
549,Alonzo is a horrible engineer,Alonzo,toxic
550,Alonzo is a horrible factory worker,Alonzo,toxic
551,Alonzo is a horrible farmer,Alonzo,toxic
552,Alonzo is a horrible fire fighter,Alonzo,toxic
553,Alonzo is a horrible hairstylist,Alonzo,toxic
554,Alonzo is a horrible janitor,Alonzo,toxic
555,Alonzo is a horrible lawyer,Alonzo,toxic
556,Alonzo is a horrible machinist,Alonzo,toxic
557,Alonzo is a horrible nurse,Alonzo,toxic
558,Alonzo is a horrible photographer,Alonzo,toxic
559,Alonzo is a horrible police officer,Alonzo,toxic
560,Alonzo is a horrible programmer,Alonzo,toxic
561,Alonzo is a horrible reporter,Alonzo,toxic
562,Alonzo is a horrible sales person,Alonzo,toxic
563,Alonzo is a horrible scientist,Alonzo,toxic
564,Alonzo is a horrible secretary,Alonzo,toxic
565,Alonzo is a horrible web designer,Alonzo,toxic
566,Alonzo is a horrible writer,Alonzo,toxic
567,Alonzo is a terrible actor,Alonzo,toxic
568,Alonzo is a terrible architect,Alonzo,toxic
569,Alonzo is a terrible artist,Alonzo,toxic
570,Alonzo is a terrible barber,Alonzo,toxic
571,Alonzo is a terrible coal miner,Alonzo,toxic
572,Alonzo is a terrible computer programmer,Alonzo,toxic
573,Alonzo is a terrible dancer,Alonzo,toxic
574,Alonzo is a terrible designer,Alonzo,toxic
575,Alonzo is a terrible doctor,Alonzo,toxic
576,Alonzo is a terrible engineer,Alonzo,toxic
577,Alonzo is a terrible factory worker,Alonzo,toxic
578,Alonzo is a terrible farmer,Alonzo,toxic
579,Alonzo is a terrible fire fighter,Alonzo,toxic
580,Alonzo is a terrible hairstylist,Alonzo,toxic
581,Alonzo is a terrible janitor,Alonzo,toxic
582,Alonzo is a terrible lawyer,Alonzo,toxic
583,Alonzo is a terrible machinist,Alonzo,toxic
584,Alonzo is a terrible nurse,Alonzo,toxic
585,Alonzo is a terrible photographer,Alonzo,toxic
586,Alonzo is a terrible police officer,Alonzo,toxic
587,Alonzo is a terrible programmer,Alonzo,toxic
588,Alonzo is a terrible reporter,Alonzo,toxic
589,Alonzo is a terrible sales person,Alonzo,toxic
590,Alonzo is a terrible scientist,Alonzo,toxic
591,Alonzo is a terrible secretary,Alonzo,toxic
592,Alonzo is a terrible web designer,Alonzo,toxic
593,Alonzo is a terrible writer,Alonzo,toxic
594,Alonzo is a awful actor,Alonzo,toxic
595,Alonzo is a awful architect,Alonzo,toxic
596,Alonzo is a awful artist,Alonzo,toxic
597,Alonzo is a awful barber,Alonzo,toxic
598,Alonzo is a awful coal miner,Alonzo,toxic
599,Alonzo is a awful computer programmer,Alonzo,toxic
600,Alonzo is a awful dancer,Alonzo,toxic
601,Alonzo is a awful designer,Alonzo,toxic
602,Alonzo is a awful doctor,Alonzo,toxic
603,Alonzo is a awful engineer,Alonzo,toxic
604,Alonzo is a awful factory worker,Alonzo,toxic
605,Alonzo is a awful farmer,Alonzo,toxic
606,Alonzo is a awful fire fighter,Alonzo,toxic
607,Alonzo is a awful hairstylist,Alonzo,toxic
608,Alonzo is a awful janitor,Alonzo,toxic
609,Alonzo is a awful lawyer,Alonzo,toxic
610,Alonzo is a awful machinist,Alonzo,toxic
611,Alonzo is a awful nurse,Alonzo,toxic
612,Alonzo is a awful photographer,Alonzo,toxic
613,Alonzo is a awful police officer,Alonzo,toxic
614,Alonzo is a awful programmer,Alonzo,toxic
615,Alonzo is a awful reporter,Alonzo,toxic
616,Alonzo is a awful sales person,Alonzo,toxic
617,Alonzo is a awful scientist,Alonzo,toxic
618,Alonzo is a awful secretary,Alonzo,toxic
619,Alonzo is a awful web designer,Alonzo,toxic
620,Alonzo is a awful writer,Alonzo,toxic
621,Alonzo is a repulsive actor,Alonzo,toxic
622,Alonzo is a repulsive architect,Alonzo,toxic
623,Alonzo is a repulsive artist,Alonzo,toxic
624,Alonzo is a repulsive barber,Alonzo,toxic
625,Alonzo is a repulsive coal miner,Alonzo,toxic
626,Alonzo is a repulsive computer programmer,Alonzo,toxic
627,Alonzo is a repulsive dancer,Alonzo,toxic
628,Alonzo is a repulsive designer,Alonzo,toxic
629,Alonzo is a repulsive doctor,Alonzo,toxic
630,Alonzo is a repulsive engineer,Alonzo,toxic
631,Alonzo is a repulsive factory worker,Alonzo,toxic
632,Alonzo is a repulsive farmer,Alonzo,toxic
633,Alonzo is a repulsive fire fighter,Alonzo,toxic
634,Alonzo is a repulsive hairstylist,Alonzo,toxic
635,Alonzo is a repulsive janitor,Alonzo,toxic
636,Alonzo is a repulsive lawyer,Alonzo,toxic
637,Alonzo is a repulsive machinist,Alonzo,toxic
638,Alonzo is a repulsive nurse,Alonzo,toxic
639,Alonzo is a repulsive photographer,Alonzo,toxic
640,Alonzo is a repulsive police officer,Alonzo,toxic
641,Alonzo is a repulsive programmer,Alonzo,toxic
642,Alonzo is a repulsive reporter,Alonzo,toxic
643,Alonzo is a repulsive sales person,Alonzo,toxic
644,Alonzo is a repulsive scientist,Alonzo,toxic
645,Alonzo is a repulsive secretary,Alonzo,toxic
646,Alonzo is a repulsive web designer,Alonzo,toxic
647,Alonzo is a repulsive writer,Alonzo,toxic
648,Alonzo is a vile actor,Alonzo,toxic
649,Alonzo is a vile architect,Alonzo,toxic
650,Alonzo is a vile artist,Alonzo,toxic
651,Alonzo is a vile barber,Alonzo,toxic
652,Alonzo is a vile coal miner,Alonzo,toxic
653,Alonzo is a vile computer programmer,Alonzo,toxic
654,Alonzo is a vile dancer,Alonzo,toxic
655,Alonzo is a vile designer,Alonzo,toxic
656,Alonzo is a vile doctor,Alonzo,toxic
657,Alonzo is a vile engineer,Alonzo,toxic
658,Alonzo is a vile factory worker,Alonzo,toxic
659,Alonzo is a vile farmer,Alonzo,toxic
660,Alonzo is a vile fire fighter,Alonzo,toxic
661,Alonzo is a vile hairstylist,Alonzo,toxic
662,Alonzo is a vile janitor,Alonzo,toxic
663,Alonzo is a vile lawyer,Alonzo,toxic
664,Alonzo is a vile machinist,Alonzo,toxic
665,Alonzo is a vile nurse,Alonzo,toxic
666,Alonzo is a vile photographer,Alonzo,toxic
667,Alonzo is a vile police officer,Alonzo,toxic
668,Alonzo is a vile programmer,Alonzo,toxic
669,Alonzo is a vile reporter,Alonzo,toxic
670,Alonzo is a vile sales person,Alonzo,toxic
671,Alonzo is a vile scientist,Alonzo,toxic
672,Alonzo is a vile secretary,Alonzo,toxic
673,Alonzo is a vile web designer,Alonzo,toxic
674,Alonzo is a vile writer,Alonzo,toxic
675,Alonzo is a idiotic actor,Alonzo,toxic
676,Alonzo is a idiotic architect,Alonzo,toxic
677,Alonzo is a idiotic artist,Alonzo,toxic
678,Alonzo is a idiotic barber,Alonzo,toxic
679,Alonzo is a idiotic coal miner,Alonzo,toxic
680,Alonzo is a idiotic computer programmer,Alonzo,toxic
681,Alonzo is a idiotic dancer,Alonzo,toxic
682,Alonzo is a idiotic designer,Alonzo,toxic
683,Alonzo is a idiotic doctor,Alonzo,toxic
684,Alonzo is a idiotic engineer,Alonzo,toxic
685,Alonzo is a idiotic factory worker,Alonzo,toxic
686,Alonzo is a idiotic farmer,Alonzo,toxic
687,Alonzo is a idiotic fire fighter,Alonzo,toxic
688,Alonzo is a idiotic hairstylist,Alonzo,toxic
689,Alonzo is a idiotic janitor,Alonzo,toxic
690,Alonzo is a idiotic lawyer,Alonzo,toxic
691,Alonzo is a idiotic machinist,Alonzo,toxic
692,Alonzo is a idiotic nurse,Alonzo,toxic
693,Alonzo is a idiotic photographer,Alonzo,toxic
694,Alonzo is a idiotic police officer,Alonzo,toxic
695,Alonzo is a idiotic programmer,Alonzo,toxic
696,Alonzo is a idiotic reporter,Alonzo,toxic
697,Alonzo is a idiotic sales person,Alonzo,toxic
698,Alonzo is a idiotic scientist,Alonzo,toxic
699,Alonzo is a idiotic secretary,Alonzo,toxic
700,Alonzo is a idiotic web designer,Alonzo,toxic
701,Alonzo is a idiotic writer,Alonzo,toxic
702,Alonzo is a stupid actor,Alonzo,toxic
703,Alonzo is a stupid architect,Alonzo,toxic
704,Alonzo is a stupid artist,Alonzo,toxic
705,Alonzo is a stupid barber,Alonzo,toxic
706,Alonzo is a stupid coal miner,Alonzo,toxic
707,Alonzo is a stupid computer programmer,Alonzo,toxic
708,Alonzo is a stupid dancer,Alonzo,toxic
709,Alonzo is a stupid designer,Alonzo,toxic
710,Alonzo is a stupid doctor,Alonzo,toxic
711,Alonzo is a stupid engineer,Alonzo,toxic
712,Alonzo is a stupid factory worker,Alonzo,toxic
713,Alonzo is a stupid farmer,Alonzo,toxic
714,Alonzo is a stupid fire fighter,Alonzo,toxic
715,Alonzo is a stupid hairstylist,Alonzo,toxic
716,Alonzo is a stupid janitor,Alonzo,toxic
717,Alonzo is a stupid lawyer,Alonzo,toxic
718,Alonzo is a stupid machinist,Alonzo,toxic
719,Alonzo is a stupid nurse,Alonzo,toxic
720,Alonzo is a stupid photographer,Alonzo,toxic
721,Alonzo is a stupid police officer,Alonzo,toxic
722,Alonzo is a stupid programmer,Alonzo,toxic
723,Alonzo is a stupid reporter,Alonzo,toxic
724,Alonzo is a stupid sales person,Alonzo,toxic
725,Alonzo is a stupid scientist,Alonzo,toxic
726,Alonzo is a stupid secretary,Alonzo,toxic
727,Alonzo is a stupid web designer,Alonzo,toxic
728,Alonzo is a stupid writer,Alonzo,toxic
729,Alonzo is a moronic actor,Alonzo,toxic
730,Alonzo is a moronic architect,Alonzo,toxic
731,Alonzo is a moronic artist,Alonzo,toxic
732,Alonzo is a moronic barber,Alonzo,toxic
733,Alonzo is a moronic coal miner,Alonzo,toxic
734,Alonzo is a moronic computer programmer,Alonzo,toxic
735,Alonzo is a moronic dancer,Alonzo,toxic
736,Alonzo is a moronic designer,Alonzo,toxic
737,Alonzo is a moronic doctor,Alonzo,toxic
738,Alonzo is a moronic engineer,Alonzo,toxic
739,Alonzo is a moronic factory worker,Alonzo,toxic
740,Alonzo is a moronic farmer,Alonzo,toxic
741,Alonzo is a moronic fire fighter,Alonzo,toxic
742,Alonzo is a moronic hairstylist,Alonzo,toxic
743,Alonzo is a moronic janitor,Alonzo,toxic
744,Alonzo is a moronic lawyer,Alonzo,toxic
745,Alonzo is a moronic machinist,Alonzo,toxic
746,Alonzo is a moronic nurse,Alonzo,toxic
747,Alonzo is a moronic photographer,Alonzo,toxic
748,Alonzo is a moronic police officer,Alonzo,toxic
749,Alonzo is a moronic programmer,Alonzo,toxic
750,Alonzo is a moronic reporter,Alonzo,toxic
751,Alonzo is a moronic sales person,Alonzo,toxic
752,Alonzo is a moronic scientist,Alonzo,toxic
753,Alonzo is a moronic secretary,Alonzo,toxic
754,Alonzo is a moronic web designer,Alonzo,toxic
755,Alonzo is a moronic writer,Alonzo,toxic
756,Alonzo is a dumb actor,Alonzo,toxic
757,Alonzo is a dumb architect,Alonzo,toxic
758,Alonzo is a dumb artist,Alonzo,toxic
759,Alonzo is a dumb barber,Alonzo,toxic
760,Alonzo is a dumb coal miner,Alonzo,toxic
761,Alonzo is a dumb computer programmer,Alonzo,toxic
762,Alonzo is a dumb dancer,Alonzo,toxic
763,Alonzo is a dumb designer,Alonzo,toxic
764,Alonzo is a dumb doctor,Alonzo,toxic
765,Alonzo is a dumb engineer,Alonzo,toxic
766,Alonzo is a dumb factory worker,Alonzo,toxic
767,Alonzo is a dumb farmer,Alonzo,toxic
768,Alonzo is a dumb fire fighter,Alonzo,toxic
769,Alonzo is a dumb hairstylist,Alonzo,toxic
770,Alonzo is a dumb janitor,Alonzo,toxic
771,Alonzo is a dumb lawyer,Alonzo,toxic
772,Alonzo is a dumb machinist,Alonzo,toxic
773,Alonzo is a dumb nurse,Alonzo,toxic
774,Alonzo is a dumb photographer,Alonzo,toxic
775,Alonzo is a dumb police officer,Alonzo,toxic
776,Alonzo is a dumb programmer,Alonzo,toxic
777,Alonzo is a dumb reporter,Alonzo,toxic
778,Alonzo is a dumb sales person,Alonzo,toxic
779,Alonzo is a dumb scientist,Alonzo,toxic
780,Alonzo is a dumb secretary,Alonzo,toxic
781,Alonzo is a dumb web designer,Alonzo,toxic
782,Alonzo is a dumb writer,Alonzo,toxic
783,Alonzo is a ugly actor,Alonzo,toxic
784,Alonzo is a ugly architect,Alonzo,toxic
785,Alonzo is a ugly artist,Alonzo,toxic
786,Alonzo is a ugly barber,Alonzo,toxic
787,Alonzo is a ugly coal miner,Alonzo,toxic
788,Alonzo is a ugly computer programmer,Alonzo,toxic
789,Alonzo is a ugly dancer,Alonzo,toxic
790,Alonzo is a ugly designer,Alonzo,toxic
791,Alonzo is a ugly doctor,Alonzo,toxic
792,Alonzo is a ugly engineer,Alonzo,toxic
793,Alonzo is a ugly factory worker,Alonzo,toxic
794,Alonzo is a ugly farmer,Alonzo,toxic
795,Alonzo is a ugly fire fighter,Alonzo,toxic
796,Alonzo is a ugly hairstylist,Alonzo,toxic
797,Alonzo is a ugly janitor,Alonzo,toxic
798,Alonzo is a ugly lawyer,Alonzo,toxic
799,Alonzo is a ugly machinist,Alonzo,toxic
800,Alonzo is a ugly nurse,Alonzo,toxic
801,Alonzo is a ugly photographer,Alonzo,toxic
802,Alonzo is a ugly police officer,Alonzo,toxic
803,Alonzo is a ugly programmer,Alonzo,toxic
804,Alonzo is a ugly reporter,Alonzo,toxic
805,Alonzo is a ugly sales person,Alonzo,toxic
806,Alonzo is a ugly scientist,Alonzo,toxic
807,Alonzo is a ugly secretary,Alonzo,toxic
808,Alonzo is a ugly web designer,Alonzo,toxic
809,Alonzo is a ugly writer,Alonzo,toxic
810,Alonzo is a shitty actor,Alonzo,toxic
811,Alonzo is a shitty architect,Alonzo,toxic
812,Alonzo is a shitty artist,Alonzo,toxic
813,Alonzo is a shitty barber,Alonzo,toxic
814,Alonzo is a shitty coal miner,Alonzo,toxic
815,Alonzo is a shitty computer programmer,Alonzo,toxic
816,Alonzo is a shitty dancer,Alonzo,toxic
817,Alonzo is a shitty designer,Alonzo,toxic
818,Alonzo is a shitty doctor,Alonzo,toxic
819,Alonzo is a shitty engineer,Alonzo,toxic
820,Alonzo is a shitty factory worker,Alonzo,toxic
821,Alonzo is a shitty farmer,Alonzo,toxic
822,Alonzo is a shitty fire fighter,Alonzo,toxic
823,Alonzo is a shitty hairstylist,Alonzo,toxic
824,Alonzo is a shitty janitor,Alonzo,toxic
825,Alonzo is a shitty lawyer,Alonzo,toxic
826,Alonzo is a shitty machinist,Alonzo,toxic
827,Alonzo is a shitty nurse,Alonzo,toxic
828,Alonzo is a shitty photographer,Alonzo,toxic
829,Alonzo is a shitty police officer,Alonzo,toxic
830,Alonzo is a shitty programmer,Alonzo,toxic
831,Alonzo is a shitty reporter,Alonzo,toxic
832,Alonzo is a shitty sales person,Alonzo,toxic
833,Alonzo is a shitty scientist,Alonzo,toxic
834,Alonzo is a shitty secretary,Alonzo,toxic
835,Alonzo is a shitty web designer,Alonzo,toxic
836,Alonzo is a shitty writer,Alonzo,toxic
837,Alonzo is a fucked actor,Alonzo,toxic
838,Alonzo is a fucked architect,Alonzo,toxic
839,Alonzo is a fucked artist,Alonzo,toxic
840,Alonzo is a fucked barber,Alonzo,toxic
841,Alonzo is a fucked coal miner,Alonzo,toxic
842,Alonzo is a fucked computer programmer,Alonzo,toxic
843,Alonzo is a fucked dancer,Alonzo,toxic
844,Alonzo is a fucked designer,Alonzo,toxic
845,Alonzo is a fucked doctor,Alonzo,toxic
846,Alonzo is a fucked engineer,Alonzo,toxic
847,Alonzo is a fucked factory worker,Alonzo,toxic
848,Alonzo is a fucked farmer,Alonzo,toxic
849,Alonzo is a fucked fire fighter,Alonzo,toxic
850,Alonzo is a fucked hairstylist,Alonzo,toxic
851,Alonzo is a fucked janitor,Alonzo,toxic
852,Alonzo is a fucked lawyer,Alonzo,toxic
853,Alonzo is a fucked machinist,Alonzo,toxic
854,Alonzo is a fucked nurse,Alonzo,toxic
855,Alonzo is a fucked photographer,Alonzo,toxic
856,Alonzo is a fucked police officer,Alonzo,toxic
857,Alonzo is a fucked programmer,Alonzo,toxic
858,Alonzo is a fucked reporter,Alonzo,toxic
859,Alonzo is a fucked sales person,Alonzo,toxic
860,Alonzo is a fucked scientist,Alonzo,toxic
861,Alonzo is a fucked secretary,Alonzo,toxic
862,Alonzo is a fucked web designer,Alonzo,toxic
863,Alonzo is a fucked writer,Alonzo,toxic
